abstraction	entity
uakari	platyrrhine, platyrrhinian
titi	platyrrhine, platyrrhinian
prosimian	primate
Adapid	taxon
lemur	primate
Daubentoniidae	Lemuroidea
potto, kinkajou	lemur
angwantibo	lemur
galago, bushbaby	lemur
indri, indris	lemur
Omomyid	taxon
tarsier	primate
colugo	placental, eutherian
proboscidean, proboscidian	placental, eutherian
elephant	pachyderm, proboscidean, proboscidian
mammoth	elephant
mastodon, mastodont	proboscidean, proboscidian
gomphothere	elephant
plantigrade	placental, eutherian
digitigrade	placental, eutherian
procyonid	carnivore
raccoon, racoon	procyonid
coon, ringtail	raccoon, racoon
bassarisk, cacomistle, cacomixle, ringtail	procyonid
kinkajou, potto	procyonid
coati	procyonid
panda	procyonid
panda	procyonid
peristome	structure
syrinx	structure
twitterer	bird
Pisces	division
fingerling	fish
mouthbreeder	fish
spawner	fish
Channidae	class
Osteichthyes	class
Crossopterygii	class
coelacanth	crossopterygian, lobefin
Dipnoi	class
ceratodus	lungfish
catfish	malacopterygian
silurid	catfish
sheatfish	silurid
bullhead	catfish
hornpout, pout	bullhead
mudcat, goujon	catfish
gadoid	malacopterygian
cod, codfish	gadoid
codling	cod, codfish
whiting	gadoid
burbot, eelpout, ling, cusk	cod, codfish
scrod, schrod	cod, codfish
haddock	gadoid
pollack, pollock	gadoid
hake	gadoid
whiting	hake
ling	hake
ling	gadoid
cusk, torsk	gadoid
grenadier, rattail	gadoid
eel	malacopterygian
elver	eel
tuna	eel
moray	eel
conger	eel
Teleostei	class
sandfish	malacopterygian
clupeid	malacopterygian
shad	clupeid
allice, allis	shad
alewife	clupeid
menhaden	clupeid
herring	clupeid
sardine	clupeid
sild	sardine
brisling, sprat	sardine
pilchard, sardine	clupeid
anchovy	malacopterygian
salmonid	malacopterygian
salmon	salmonid
blackfish	salmon
redfish	salmon
sockeye	salmon
chinook	salmon
chum	salmon
coho, cohoe	salmon
trout	salmonid
char, charr	salmonid
whitefish	malacopterygian
cisco	whitefish
smelt	malacopterygian
sparling	smelt
capelin, capelan, caplin	smelt
tarpon	malacopterygian
ladyfish, tenpounder	tarpon
bonefish	malacopterygian
argentine	malacopterygian
lanternfish	malacopterygian
lizardfish, snakefish	malacopterygian
greeneye	malacopterygian
lancetfish, wolffish	malacopterygian
opah, moonfish	malacopterygian
ribbonfish	malacopterygian
dealfish	ribbonfish
oarfish, ribbonfish	malacopterygian
batfish	acanthopterygian
goosefish, angler, anglerfish, monkfish, lotte, allmouth	acanthopterygian
toadfish	acanthopterygian
oysterfish	toadfish
frogfish	acanthopterygian
needlefish, gar, billfish	teleost, teleostan
timucu	needlefish, gar, billfish
halfbeak	teleost, teleostan
saury, billfish	teleost, teleostan
acanthopterygian	teleost, teleostan
lingcod	scorpaenoid
percoid, percoidean	acanthopterygian
perch	percoid, percoidean
perch	percoid, percoidean
sandfish	percoid, percoidean
brotula	percoid, percoidean
pearlfish	percoid, percoidean
robalo	percoid, percoidean
snook	robalo
Latinae	subfamily
pike	percoid, percoidean
muskellunge	pike
pickerel	pike
sunfish, centrarchid	percoid, percoidean
crappie	sunfish, centrarchid
bream	sunfish, centrarchid
pumpkinseed	sunfish, centrarchid
bluegill	bream
stumpknocker	bream
bass	percoid, percoidean
serranid	percoid, percoidean
coney	grouper
hind	grouper
jewfish	grouper
soapfish	serranid
surfperch, surffish	percoid, percoidean
bigeye	percoid, percoidean
catalufa	percoid, percoidean
cardinalfish	percoid, percoidean
flamefish	cardinalfish
conchfish	cardinalfish
tilefish	percoid, percoidean
bluefish	percoid, percoidean
cobia	percoid, percoidean
remora, suckerfish	acanthopterygian
sharksucker	remora, suckerfish
whalesucker	remora, suckerfish
carangid	percoid, percoidean
jack	carangid
runner	jack
leatherjacket, leatherjack	jack
threadfish	jack
moonfish, horsefish, horsehead, dollarfish	carangid
lookdown	moonfish, horsefish, horsehead, dollarfish
amberjack, amberfish	jack
yellowtail	jack
rudderfish	jack
kingfish	jack
pompano	carangid
permit	pompano
pilotfish	carangid
scad	carangid
saurel	scad
saurel	scad
cigarfish, quiaquia	scad
dolphinfish, dolphin, mahimahi	percoid, percoidean
pomfret	bream
blanquillo, tilefish	percoid, percoidean
tetra	characin, characid
piranha, pirana, caribe	characin, characid
tentacle	process, outgrowth, appendage
antenna, feeler	tentacle
arista	process, outgrowth, appendage
barbel, feeler	tentacle
swimmeret, pleopod	extremity, appendage, member
cichlid	percoid, percoidean
bolti	cichlid
snapper	percoid, percoidean
muttonfish	snapper
schoolmaster	snapper
yellowtail	snapper
grunt	percoid, percoidean
margate	grunt
tomtate	grunt
cottonwick	grunt
porkfish	grunt
pompon	grunt
pigfish, hogfish	grunt
sparid	percoid, percoidean
bream	percoid, percoidean
porgy	bream
sheepshead	sparid
pinfish, squirrelfish	sparid
snapper	sparid
scup	porgy
scup	porgy
sciaenid	percoid, percoidean
drum, drumfish	sciaenid
mademoiselle	drum, drumfish
redfish	drum, drumfish
mulloway, jewfish	sciaenid
maigre, maiger	sciaenid
croaker	sciaenid
surffish	croaker
whiting	sciaenid
kingfish	whiting
corbina	whiting
chenfish, kingfish	croaker
queenfish	croaker
mullet	percoid, percoidean
goatfish, surmullet	mullet
mullet	percoid, percoidean
liza	mullet
silversides, silverside	acanthopterygian
jacksmelt	silversides, silverside
barracuda	acanthopterygian
sweeper	teleost, teleostan
spadefish, angelfish	percoid, percoidean
damselfish, demoiselle	percoid, percoidean
beaugregory	damselfish, demoiselle
wrasse	percoid, percoidean
pigfish	wrasse
hogfish	wrasse
puddingwife	wrasse
bluehead	wrasse
tautog, blackfish	wrasse
cunner, bergall	wrasse
parrotfish, pollyfish	percoid, percoidean
threadfin	percoid, percoidean
barbu	threadfin
jawfish	percoid, percoidean
stargazer	percoid, percoidean
blennioid	percoid, percoidean
blenny	blennioid
shanny	blenny
clinid	blennioid
pikeblenny	blennioid
gunnel	blennioid
butterfish	gunnel
prickleback	blennioid
snakeblenny	prickleback
eelblenny	prickleback
wrymouth, ghostfish	blennioid
wolffish, catfish	blennioid
eelpout, pout	blennioid
launce	acanthopterygian
dragonet	acanthopterygian
goby, gudgeon	percoid, percoidean
mudskipper, mudspringer	goby, gudgeon
sleeper	percoid, percoidean
flathead	percoid, percoidean
archerfish	percoid, percoidean
surgeonfish	percoid, percoidean
doctorfish	surgeonfish
gempylid	percoid, percoidean
escolar	gempylid
oilfish	gempylid
cutlassfish, hairtail	percoid, percoidean
scombroid	percoid, percoidean
mackerel	scombroid
shiner	mackerel
tinker	mackerel
wahoo	mackerel
tuna, tunny	scombroid
albacore	tuna, tunny
bluefin	tuna, tunny
yellowfin	tuna, tunny
bonito	scombroid
skipjack	bonito
skipjack	scombroid
bonito	scombroid
swordfish	scombroid
sailfish	scombroid
billfish	scombroid
marlin	billfish
spearfish	billfish
louvar	scombroid
butterfish, stromateid	percoid, percoidean
dollarfish	butterfish, stromateid
palometa	butterfish, stromateid
harvestfish	butterfish, stromateid
driftfish	butterfish, stromateid
driftfish	butterfish, stromateid
squaretail	scombroid
barrelfish	butterfish, stromateid
clingfish	percoid, percoidean
skilletfish	clingfish
tripletail	percoid, percoidean
mojarra	percoid, percoidean
whiting	percoid, percoidean
ganoin, ganoine	secretion
ganoid	teleost, teleostan
bowfin, grindle, dogfish	ganoid
paddlefish, duckbill	ganoid
sturgeon	ganoid
beluga, hausen	sturgeon
gar, garfish, garpike, billfish	ganoid
scorpaenoid	acanthopterygian
scorpaenid	scorpaenoid
scorpionfish	scorpaenid
lionfish	scorpaenid
stonefish	scorpaenid
rockfish	scorpaenid
rasher	rockfish
rosefish	rockfish
sculpin	scorpaenoid
bullhead	sculpin
grubby	sculpin
lumpfish	scorpaenoid
lumpsucker	lumpfish
snailfish, seasnail	scorpaenoid
poacher	scorpaenoid
pogge	poacher
alligatorfish	poacher
greenling	scorpaenoid
convictfish	greenling
flathead	scorpaenoid
gurnard	scorpaenoid
searobin	gurnard
butterflyfish	scorpaenoid
plectognath	acanthopterygian
triggerfish	plectognath
oldwench, oldwife	triggerfish
filefish	plectognath
leatherjacket, leatherfish	filefish
boxfish, trunkfish	plectognath
cowfish	boxfish, trunkfish
puffer, pufferfish, blowfish, globefish	plectognath
sunfish, mola, headfish	plectognath
flatfish	acanthopterygian
flounder	flatfish
halibut, holibut	flatfish
tonguefish	flatfish
sole	flatfish
hogchoker	sole
prothorax	thorax
metamere, somite	segment
aba	fabric, cloth, material, textile
aba	overgarment
abacus	calculator
abacus	tablet
derelict	ship
abattoir, butchery, shambles, slaughterhouse	building, edifice
abaya	robe
abbey	monastery
abbey	convent
abbey	church
abortifacient, aborticide	drug
mifepristone	abortifacient, aborticide
abrader, abradant	tool
abstraction	painting, picture
abstractionism	genre
abutment	support
academy	establishment
accelerator, throttle	valve
accelerator, gas, throttle, gun	pedal, treadle
access, approach	way
access	operation
accessory, appurtenance, supplement	component, constituent, element
accessory, accoutrement, accouterment	clothing, vesture, wear, wearable, habiliment
accommodation	quarters
accumulator	register
acetaminophen, Datril, Tylenol, Panadol, Phenaphen, Tempra	analgesic, anodyne, painkiller
acetanilide, acetanilid, phenylacetamide	analgesic, anodyne, painkiller
acetate	rayon
acetophenetidin, acetphenetidin, phenacetin	analgesic, anodyne, painkiller
acid, dose, dot, Elvis, pane, superman, Zen	LSD
acoustic	remedy, curative, cure, therapeutic
acropolis	bastion, citadel
acrylic	fabric, cloth, material, textile
acrylic	paint, pigment
Actifed	antihistamine
actinomycin	antibiotic
action	mechanism
actuator	mechanism
acyclovir, Zovirax	medicine, medication, medicament
Adam, ecstasy, XTC, go, cristal, X	methylenedioxymethamphetamine, MDMA
adapter, adaptor	device
adder	calculator
totalizer, totaliser	calculator
addition, improver	component, constituent, element
additive	addition, improver
Addressograph	printer
adit	passage
adjuvant	additive
admixture, intermixture	ingredient
adobe	brick
adornment	decoration, ornament, ornamentation
adrenergic	vasoconstrictor, vasoconstrictive, pressor
adumbration	representation
aerator	apparatus, setup
aerosol	dispenser
Aertex	fabric, cloth, material, textile
afghan	blanket, cover
afterburner	device
afterdeck	deck
afterthought	addition, improver
agal	cord
agateware	pottery, clayware
agglomerator	device
aglet, aiglet, aiguilette	braid, braiding
aglet, aiglet	sheath
agonist	drug
agora	marketplace, mart, market
aigrette, aigret	plume
aileron	airfoil, aerofoil, surface
airbrake	restraint, constraint
airbrush	atomizer, atomiser, spray, sprayer, nebulizer, nebuliser
airbus	airliner
aircraft	craft
carrier, flattop	warship
airdock, hangar	structure, construction
airfield, field	facility, installation
airfoil, aerofoil, surface	device
airframe	framework
airgun	gun
jackhammer	hammer
airline, airway	line
airline	hose, hosepipe
airliner	airplane, aeroplane, plane
airlock	chamber
airmailer	mailer
airway	duct
airscrew, prop	propeller, propellor
airport, airdrome, aerodrome, drome	airfield, field
airstrip, strip	airfield, field
aisle, gangway	passageway
aisle	area
aisle	passage
alarm	device
alarm	clock
alb	vestment
album	book, volume
albuterol, Ventolin, Proventil	bronchodilator
alcazar	fortress, fort, palace
alcove, bay	recess, niche
alehouse	pub, saloon, pothouse, taphouse
alembic	retort
alendronate, Fosamax	medicine, medication, medicament
alley, alleyway	street
allopurinol, Zyloprim	medicine, medication, medicament
aloes	purgative, cathartic, physic, aperient
alpaca	fabric, cloth, material, textile
alpenstock	staff
alprazolam, Xanax	benzodiazepine
altar	structure, construction
altar	table
altarpiece, reredos	screen
alternator	generator
alum	astringent, styptic
Amati	violin, fiddle
ambulance	car, auto, automobile, machine, motorcar
ambulatory	walk, walkway, paseo
Americana	artifact, artefact
aminophylline	bronchodilator
aminopyrine, amidopyrine	analgesic, anodyne, painkiller
amiodarone, Cordarone	antiarrhythmic
amitriptyline, Elavil	tricyclic
Norvasc	vasodilator, vasodilative
ammeter	meter
ammunition, ammo	weaponry, arms, munition
amobarbital	barbiturate
blue, Amytal	amobarbital
amoxicillin, Amoxil, Larotid, Polymox, Trimox, Augmentin	penicillin
amphetamine, upper, speed	stimulant, excitant
amphibian	airplane, aeroplane, plane
amphitheater, amphitheatre, coliseum	stadium, bowl, arena
amphitheater, amphitheatre	gallery
amphora	jar
amphotericin	antibiotic
ampicillin, Principen, Polycillin	penicillin
ampulla	flask
amrinone, Inocor	medicine, medication, medicament
amulet, talisman	charm
anachronism	artifact, artefact
anaglyph	glyptography
anaglyph	stereo
analeptic	stimulant, excitant
analgesic, anodyne, painkiller	medicine, medication, medicament
analyzer, analyser	instrument
anamorphosis, anamorphism	copy
anastigmat	lens, lense
anchor	hook, claw
andiron, firedog, dog	support
android, humanoid	automaton, robot, golem
anemometer	gauge, gage
aneroid	barometer
anesthetic, anaesthetic	drug
anesthyl	local
angiocardiogram	roentgenogram
angiogram	roentgenogram
angioscope	microscope
angiotensin, angiotonin, Hypertensin	vasoconstrictor, vasoconstrictive, pressor
angledozer	bulldozer, dozer
animalization	delineation, depiction, limning
anklet	bracelet, bangle
anklet, anklets, bobbysock, bobbysocks	sock
anklet	shoe
ankus	prod, goad
annex, annexe, extension, wing	addition, improver
annulet	ring, band
annulet, bandelet, bandelette, bandlet	molding, moulding
annulet, roundel	charge, bearing
annunciator	indicator
anode	electrode
anode	terminal, pole
antagonist	drug
anteroom, antechamber, hall, foyer, lobby, vestibule	room
antiaircraft, flak, flack	gun
antiarrhythmic	medicine, medication, medicament
antibacterial, bactericide	medicine, medication, medicament
antibiotic	antibacterial, bactericide
anticholinergic	medicine, medication, medicament
anticholinesterase	medicine, medication, medicament
anticoagulant, decoagulant	medicine, medication, medicament
anticonvulsant, antiepileptic	medicine, medication, medicament
antidepressant	medicine, medication, medicament
antidiabetic	medicine, medication, medicament
antidiarrheal	medicine, medication, medicament
antidiuretic	medicine, medication, medicament
antidote, counterpoison	remedy, curative, cure, therapeutic
antiemetic	medicine, medication, medicament
antiflatulent	agent
antifungal, fungicide, antimycotic	agent
antihistamine	medicine, medication, medicament
antihypertensive	medicine, medication, medicament
antimalarial	antiprotozoal
antimetabolite	antineoplastic
antimycin	antibiotic
antiperspirant	toiletry
antiprotozoal	medicine, medication, medicament
antipruritic	local
antipyretic, febrifuge	medicine, medication, medicament
antique	antiquity
antiquity	artifact, artefact
antiseptic	medicine, medication, medicament
antispasmodic, spasmolytic	medicine, medication, medicament
antisyphilitic	drug
antitussive	medicine, medication, medicament
antiviral	medicine, medication, medicament
anvil	block
apartment, flat	housing, lodging
APC	medicine, medication, medicament
aperture	opening
aperture	regulator
aphrodisiac	stimulant, excitant
apiary	shed
apishamore	saddlecloth
apomorphine	morphine, morphia
apparatus, setup	equipment
apparel, dress, clothes	clothing, vesture, wear, wearable, habiliment
appendage	part, portion
appendicle	appendage
applecart	handcart, pushcart, cart
appliance	durables
appliance, contraption, contrivance, convenience, gadget, gizmo, gismo, widget	device
applicator, applier	device
applique	sewing, stitchery
appointment, fitting	furnishing
apse, apsis	recess, niche
aqualung, scuba	ventilator
aquaplane	board
aquarium	tank, vivarium
aquatint	etching
aqueduct	conduit
arabesque	decoration, ornament, ornamentation
araroba, chrysarobin	powder
arbor, arbour, bower, pergola	framework
arboretum	facility, installation
arcade, colonnade	structure, construction
arcade	passageway
arch	structure, construction
arch, archway	entrance, entranceway, entryway, entry, entree
architecture	building, edifice
architrave	support
architrave	molding, moulding
archive	depository, deposit, depositary, repository
arctic, galosh, golosh, rubber, gumshoe	overshoe
area	structure, construction
areaway	passageway
arena	field
argyle, argyll	sock
argyle, argyll	design, pattern, figure
argyll, argyle	sauceboat, boat
ark	boat
arm	armrest
arm, branch, limb	projection
armament	weaponry, arms, munition
armature	coil
armband	band
armchair	chair
armet	helmet
armhole	hole
armilla	bracelet, bangle
armlet	band
armoire	wardrobe, closet, press
armor, armour	protection
armory, armoury, arsenal	foundry, metalworks
armrest	rest
arnica	ointment, unction, unguent, balm, salve
array, raiment, regalia	clothing, vesture, wear, wearable, habiliment
arrester	restraint, constraint
arrow	projectile, missile
arrowhead	point
arsenal, armory, armoury	armament
art	creation
arteriogram	roentgenogram
artery	thoroughfare
arthrogram	roentgenogram
arthroscope	endoscope
hemodialyzer	dialyzer
artillery, gun, ordnance	armament
atelier	studio
ascot	cravat
ashcan, wastebin, ashbin, dustbin	bin
ashlar	stone
ashtray	receptacle
asparaginase, Elspar	antineoplastic
aspergill, aspersorium	device
aspersorium	basin
aspirator	pump
aspirin, Bayer, Empirin	analgesic, anodyne, painkiller, salicylate
assegai, assagai	spear, lance, shaft
assembly	machine
assembly	whole, unit
astringent, styptic	medicine, medication, medicament
astrodome	dome
astrolabe	sextant
athanor	furnace
athenaeum, atheneum	library
atlas, telamon	column, pillar
pile	reactor
nuke	warhead, payload, load
atomizer, atomiser, spray, sprayer, nebulizer, nebuliser	dispenser
atorvastatin, Lipitor	statin
atrium	court, courtyard
atropine	alkaloid, antidote, counterpoison, antispasmodic, spasmolytic, mydriatic, poison, toxicant
attache	briefcase
attachment	addition, improver
attachment, bond	connection, connexion, connector, connecter, connective
attic	wall
attire, garb, dress	clothing, vesture, wear, wearable, habiliment
block	platform
audio	component, constituent, element
audiocassette	cassette
audiogram	representation
audiotape	tape
audiotape	audio, tape, taping
auditorium	area
auger, gimlet, wimble	drill
autobahn	expressway, freeway, motorway, pike, superhighway, throughway, thruway
autoclave, sterilizer, steriliser	vessel
autoinjector	hypodermic, hypo
autoloader	firearm, piece
automat	cafeteria
automatic	pistol, handgun
automation	equipment
automaton, robot, golem	mechanism
horn, hooter	alarm
autopilot	device
autoradiograph	radiogram, radiograph, shadowgraph, skiagraph, skiagram
autostrada	expressway, freeway, motorway, pike, superhighway, throughway, thruway
avenue, boulevard	street
aviary, volary	building, edifice
awning, sunshade, sunblind	canopy
